"CpGs","GSM1052046_5730053027_R06C02","GSM1051753_7800246044_R02C02","GSM1052111_5730192042_R04C02","GSM1052007_5771710059_R01C02","GSM1051948_5730504060_R06C02","GSM1052043_5730053027_R01C02","GSM1051566_7800246123_R06C01","GSM1051939_5730504060_R01C01","GSM1051533_7800246024_R03C02","GSM1051613_7800246188_R01C02","GSM1051547_7800246085_R05C02","GSM1052164_5730053030_R02C01","GSM1051860_7512560128_R05C02","GSM1051726_7800246040_R05C01","GSM1051827_7512560115_R01C01","GSM1051653_7800246043_R01C01","GSM1051787_7800246068_R03C02","GSM1051564_7800246123_R04C01","GSM1051557_7800246087_R03C02","GSM1051914_5730504013_R05C02","GSM1051623_7796814016_R01C02","GSM1051714_7800246034_R05C01","GSM1051645_7800246018_R05C01","GSM1051603_7800246140_R03C02","GSM1051617_7800246188_R06C02","GSM1051884_7766130166_R06C02","GSM1051612_7800246188_R06C01","GSM1051712_7800246034_R03C01","GSM1051996_5771710048_R05C02","GSM1052028_5730053011_R01C01","GSM1051571_7800246123_R05C02","GSM1051672_7800246054_R04C02","GSM1051888_5730192015_R06C01","GSM1051921_5730504014_R01C02","GSM1051812_7512560103_R03C02","GSM1051646_7800246018_R06C01","GSM1051808_7512560103_R05C01","GSM1052190_5730053041_R01C02","GSM1051574_7800246132_R02C01","GSM1051992_5771710048_R02C01","GSM1051804_7512560103_R01C01","GSM1052213_5730053048_R06C02","GSM1051527_7800246024_R03C01","GSM1051602_7800246140_R02C02","GSM1051747_7800246044_R02C01","GSM1051755_7800246044_R04C02","GSM1051851_7512560128_R01C01","GSM1052037_5730053011_R06C02","GSM1051989_5771710030_R03C02","GSM1051761_7800246046_R05C01"
"cg26930596",0.345281493089177,0.429526545307001,0.366897915584113,0.286081829085498,0.24402933455099,0.22795284690717,0.37023557052872,0.151721322510762,0.43830194033284,0.239144575253914,0.357793503981898,0.16390902903822,0.436424191142036,0.347796074335494,0.382199284011394,0.469373942914191,0.483379538415481,0.389930986546776,0.39478656661315,0.328618630635382,0.38523349778076,0.361240797193496,0.260329099046896,0.435234912467248,0.26855758657407,0.418024740734622,0.330522890779131,0.490704349544615,0.121279779094407,0.347339744558984,0.394352011392492,0.321367759387162,0.158827113513868,0.171587446292367,0.420486275104393,0.208419796131945,0.415141822182791,0.347977680511445,0.432342016705669,0.359574683595414,0.440429177135794,0.487776040515043,0.218954834079587,0.405362769960975,0.330679743484863,0.381893833181327,0.365790471256459,0.505486878190086,0.130339791430502,0.537773206227707
"cg08884752",0.804489838556211,0.588899221806825,0.680629926004782,0.729852063565968,0.837840801101508,0.855353866992159,0.628293410156907,0.714503275027117,0.67850761819548,0.753002747282081,0.692046685447881,0.702963119427782,0.717574314859425,0.658410407313032,0.628493199537727,0.566746192918158,0.567754118644282,0.637800640478934,0.664040671468038,0.722743430152363,0.657521927051857,0.658696197727192,0.714010523755697,0.615274960504254,0.691321022219241,0.791850541455207,0.784394060839567,0.541389654532979,0.844904673467736,0.6959512810078,0.67681327541561,0.681257045840446,0.769756232795723,0.788379757605765,0.636910767933115,0.665975337741748,0.663104689617319,0.751599964167471,0.616224904378281,0.709385641193252,0.618791998887375,0.574933591969505,0.806465539278539,0.670479007576637,0.69971981926721,0.650542858513556,0.620593808358008,0.819819206655052,0.836850767428242,0.541565693019716
"cg26160564",0.764193585458446,0.797625876422155,0.905513101065008,0.88825568602939,0.969086797078753,0.860469620406622,0.845501470103286,0.927305879107493,0.766948108762931,0.926865279587144,0.867630452459919,0.960433320432832,0.857955600145482,0.858492525620918,0.907327965127155,0.91985649682326,0.763964106215708,0.848977432440719,0.911298919978402,0.869728698146265,0.836087405494392,0.869403931554851,0.908126016400158,0.846825533472992,0.918208021865271,0.858460426770435,0.866854115858708,0.746188805174402,0.950963344486905,0.755038124197466,0.859439311354703,0.912554730234814,0.897925001309882,0.968897369933982,0.886711933252897,0.878071387319249,0.876805039111177,0.894290770146894,0.790192615874455,0.664934005753187,0.837257386248429,0.834543853816249,0.915210237467783,0.874977676327912,0.922421305222183,0.885133517029538,0.89185725017992,0.722543481411111,0.90219888862769,0.846609349904565
"cg01024458",0.959898353314748,0.974211815334721,0.963913578733908,0.976107539326319,0.968387997189366,0.956077189727648,0.955907550618979,0.968159617858268,0.954907229624946,0.985184491860183,0.964059556066258,0.994586388883291,0.952328297009293,0.950951446765099,0.969161776785499,0.941731336020165,0.926900254380757,0.957092393980664,0.960208836471536,0.936678459312441,0.949606905911559,0.984734138708138,0.95773995091838,0.94878907748074,0.986971391226866,0.952656866269167,0.984471578058046,0.900956221605447,0.977258262390394,0.950604132000554,0.967362574211012,0.965708717806049,0.973956021168795,0.98242178802645,0.964664658604234,0.971449215694604,0.929951924652659,0.987629702525685,0.923099711973322,0.930034827639962,0.973776122201128,0.922286735192015,0.971048579434049,0.982491054988724,0.966653399560847,0.965390863339962,0.96967767456341,0.962965088351533,0.979680476790348,0.938864322110519
"cg13785123",0.505338078291815,0.502080443828017,0.57001301171054,0.420020463847203,0.293634756251579,0.382620882971268,0.413669868215323,0.271396754692968,0.509340101522843,0.342881095431047,0.432729854455094,0.306470980653769,0.4460933536276,0.431845965770171,0.536627435064935,0.550494618980324,0.613198709274487,0.510795021590043,0.465038987600665,0.524072771132777,0.43306026259679,0.473120216118865,0.37330652914955,0.580867450344548,0.359361265748608,0.394327390599676,0.421765231830374,0.65292685126725,0.2571299230421,0.57377979568672,0.514606741573034,0.469316833361587,0.247110552763819,0.200954011741683,0.542911232646193,0.351009788130343,0.44126260982753,0.456723716381418,0.448549965059399,0.483923528133826,0.618609125893348,0.575102116598589,0.295395235289166,0.447203310639434,0.31335436382755,0.497701629753448,0.489722015124081,0.682124158563949,0.23753334701416,0.531504320832285
"cg06829969",0.397002686159078,0.48287683577726,0.431701530661471,0.379308562654961,0.288663317299324,0.261119830894383,0.42524573381744,0.259365698260395,0.472114631611772,0.231608397550678,0.384156289400708,0.277326702601141,0.401964443428904,0.414195896822076,0.385723614864297,0.524879953154756,0.52488893335073,0.369871601924815,0.409214820302386,0.409605164897652,0.373409073259209,0.414557665769166,0.293839709339606,0.431145062113077,0.234804909262691,0.387664337338138,0.360069254824664,0.550412932026464,0.196268869872606,0.511606216198997,0.430649131355554,0.34687424430929,0.257928428652319,0.212016070178101,0.447395986553885,0.226596328183598,0.458259727804018,0.386463359582705,0.398245297267457,0.48251789428226,0.495341976699231,0.584846173357386,0.258818593244223,0.374527680264664,0.28075997437555,0.41462102986306,0.456402894789486,0.682567071476337,0.203582797623387,0.50913321629612
"cg03538296",0.748523035912149,0.916757335629217,0.849123485611543,0.937957877243439,0.820497817067398,0.848386123301425,0.848518989663231,0.963415929074694,0.74877534096652,0.95389692455973,0.922852732649913,0.889339124716628,0.859809515435468,0.844459036344887,0.888829643223241,0.801852404362008,0.89704532892888,0.762590134665136,0.823753368915011,0.909727279500177,0.843043660961547,0.841932179981401,0.94035551098756,0.944373994920833,0.855667880654811,0.935487155843625,0.904871221381522,0.855822574182225,0.966382436913483,0.873681878331444,0.954418289769575,0.848131923051792,0.964889692816247,0.927333238708022,0.845076801727478,0.946330423485795,0.912205807146855,0.952365471037931,0.853440412033041,0.898231793511263,0.8413209977803,0.893803097521501,0.902253517097758,0.892390898983324,0.879238094346764,0.712020726386572,0.74908344601225,0.740444855176891,0.924781006029425,0.916531404362224
"cg27582527",0.835892895827029,0.773683196019505,0.863416153587431,0.928351046142948,0.901349634582836,0.866863101167769,0.850659787644603,0.89554223993628,0.81684010161342,0.893853188206969,0.860165893149176,0.926366375111512,0.844112778046729,0.750991667911822,0.787985995007474,0.76631989387087,0.777113158469536,0.76414567754378,0.8663996308565,0.838297605762306,0.68681149294029,0.770365051749352,0.881659211994217,0.824596114884517,0.916250483030503,0.786543038520749,0.810968689816627,0.86571943985555,0.929771499909166,0.845324165806157,0.823447708974778,0.772762790996167,0.952824783401168,0.944714887551796,0.674492309679074,0.924809887081182,0.869939279506814,0.83735369481346,0.753038787751477,0.785061970466737,0.755578992138566,0.874262227951895,0.938613897565558,0.861020151636366,0.921212656758925,0.655709486500295,0.670128223228782,0.497744131320909,0.928636393540708,0.751404276964323
"cg24466100",0.817024706622199,0.868001403327328,0.864137252935011,0.924535632997177,0.869223805927598,0.761268078888801,0.79585853346346,0.887941776562755,0.752238816516821,0.806547529635743,0.850233851143766,0.871005838877624,0.818486710116757,0.801317005036913,0.866387338370985,0.83511459708764,0.740632539410827,0.792759751526974,0.793475079028662,0.888237440316918,0.738700463429888,0.867104815640652,0.81116259074285,0.807561089670458,0.853616321270957,0.890965275478952,0.787883221590334,0.751217191126734,0.885974645144809,0.679739577364646,0.7825488916634,0.84933953539168,0.882009858673886,0.916735544483761,0.87702261993383,0.822365686441475,0.773083506409212,0.907684433906402,0.83034610432765,0.786953875794632,0.863461446944344,0.889390521214154,0.898942361531485,0.855402471787398,0.880121507063276,0.7884860329301,0.870529281907985,0.713040617991617,0.893045791217389,0.835304862769968
"cg09993145",0.504306028439816,0.356487148102815,0.523876927661477,0.612358371800252,0.637785902559306,0.576990267032693,0.44566436928995,0.683805122279992,0.479696218226906,0.623529411764706,0.542316657701273,0.708045783538125,0.462757527733756,0.475211695737135,0.420903124693898,0.390301741761387,0.382376025686764,0.448924489244892,0.437056165267915,0.509850841509133,0.481604120676968,0.404979375368297,0.540718437084238,0.441152338408241,0.497641846505645,0.429833169774289,0.499255829336861,0.39987740089906,0.74029933481153,0.494327107697678,0.463701905917624,0.464942849177586,0.693505445744252,0.648218347232752,0.438279957901067,0.673658486915793,0.436989815750603,0.598071739581174,0.523322831015139,0.459742288168684,0.389846384413638,0.397285205126261,0.653967065868263,0.470021716551789,0.56781336496639,0.396621343222085,0.340731567917699,0.374508261211644,0.662745409744853,0.416676766452551
